---
88	ь	9	3	9	3
89	д	9	4	9	4
90	е	9	5	9	5
91	р	9	6	9	6
92	е	9	7	9	7
93	я	9	8	9	8
94	,	1	0	1	0
95	т	2	0	2	0
96	о	2	1	2	1
97	б	2	0	2	0
98	ы	2	1	2	1
99	з	8	0	8	0
100	а	8	1	8	1
101	с	8	2	8	2
102	а	8	3	8	3
103	д	8	4	8	4
104	и	8	5	8	5
105	л	8	6	8	6
106	и	8	7	8	7
107	и	2	0	2	0
108	м	2	1	2	1
109	в	4	0	4	0
110	е	4	1	4	1
111	с	4	2	4	2
112	ь	4	3	4	3
113	о	6	0	6	0
114	г	6	1	6	1
115	о	6	2	6	2
116	р	6	3	6	3
117	о	6	4	6	4
118	д	6	5	6	5
119	»	1	0	1	0
120	.	1	0	1	0
121	а	1	0	1	0
122	е	3	0	3	0
123	щ	3	1	3	1
124	е	3	2	3	2
125	э	3	0	3	0
126	т	3	1	3	1
127	о	3	2	3	2
128	р	0	0	0	0
129	а	0	1	0	1
130	с	0	2	0	2
131	т	0	3	0	3
132	е	0	4	0	4
133	н	0	5	0	5
134	и	0	6	0	6
135	е	0	7	0	7
136	с	7	0	7	0
137	н	7	1	7	1
138	и	7	2	7	2
139	ж	7	3	7	3
140	а	7	4	7	4
141	е	7	5	7	5
142	т	7	6	7	6
143	и	1	0	1	0
144	о	10	0	10	0
145	т	10	1	10	1
146	п	10	2	10	2
147	у	10	3	10	3
148	г	10	4	10	4
149	и	10	5	10	5
150	в	10	6	10	6
151	а	10	7	10	7
152	е	10	8	10	8
153	т	10	9	10	9
154	в	10	0	10	0
155	р	10	1	10	1
156	е	10	2	10	2
157	д	10	3	10	3
158	и	10	4	10	4
159	т	10	5	10	5
160	е	10	6	10	6
161	л	10	7	10	7
162	е	10	8	10	8
163	й	10	9	10	9
164	к	7	0	7	0
165	а	7	1	7	1
166	п	7	2	7	2
167	у	7	3	7	3
168	с	7	4	7	4
169	т	7	5	7	5
170	ы	7	6	7	6
171	.	1	0	1	0
172	и	10	0	10	0
173	с	10	1	10	1
174	п	10	2	10	2
175	о	10	3	10	3
176	л	10	4	10	4
177	ь	10	5	10	5
178	з	10	6	10	6
179	у	10	7	10	7
180	ю	10	8	10	8
181	т	10	9	10	9
182	с	9	0	9	0
183	е	9	1	9	1
184	л	9	2	9	2
185	ь	9	3	9	3
186	д	9	4	9	4
187	е	9	5	9	5
188	р	9	6	9	6
189	е	9	7	9	7
190	й	9	8	9	8
191	в	1	0	1	0
192	с	6	0	6	0
193	в	6	1	6	1
194	е	6	2	6	2
195	ж	6	3	6	3
196	е	6	4	6	4
197	м	6	5	6	5
198	в	4	0	4	0
199	и	4	1	4	1
200	д	4	2	4	2
201	е	4	3	4	3
202	–	1	0	1	0
203	и	1	0	1	0
204	л	6	0	6	0
205	и	6	1	6	1
206	с	6	2	6	2
207	т	6	3	6	3
208	ь	6	4	6	4
209	я	6	5	6	5
210	,	1	0	1	0
211	и	1	0	1	0
212	ч	7	0	7	0
213	е	7	1	7	1
214	р	7	2	7	2
215	е	7	3	7	3
216	ш	7	4	7	4
217	к	7	5	7	5
218	и	7	6	7	6
219	,	1	0	1	0
220	и	1	0	1	0
221	к	10	0	10	0
222	о	10	1	10	1
223	р	10	2	10	2
224	н	10	3	10	3
225	е	10	4	10	4
226	п	10	5	10	5
227	л	10	6	10	6
228	о	10	7	10	7
229	д	10	8	10	8
230	ы	10	9	10	9
231	.	1	0	1	0
232	и	2	0	2	0
233	з	2	1	2	1
234	н	4	0	4	0
235	е	4	1	4	1
236	г	4	2	4	2
237	о	4	3	4	3
238	г	7	0	7	0
239	о	7	1	7	1
240	т	7	2	7	2
241	о	7	3	7	3
242	в	7	4	7	4
243	я	7	5	7	5
244	т	7	6	7	6
245	с	6	0	6	0
246	а	6	1	6	1
247	л	6	2	6	2
248	а	6	3	6	3
249	т	6	4	6	4
250	ы	6	5	6	5
251	,	1	0	1	0
252	г	7	0	7	0
253	а	7	1	7	1
254	р	7	2	7	2
255	н	7	3	7	3
256	и	7	4	7	4
257	р	7	5	7	5
258	ы	7	6	7	6
259	к	1	0	1	0
260	о	7	0	7	0
261	в	7	1	7	1
262	о	7	2	7	2
263	щ	7	3	7	3
264	н	7	4	7	4
265	ы	7	5	7	5
266	м	7	6	7	6
267	,	1	0	1	0
268	с	3	0	3	0
269	т	3	1	3	1
270	о	3	2	3	2
271	р	7	0	7	0
272	ы	7	1	7	1
273	б	7	2	7	2
274	н	7	3	7	3
275	ы	7	4	7	4
276	м	7	5	7	5
277	и	7	6	7	6
278	м	6	0	6	0
279	я	6	1	6	1
280	с	6	2	6	2
281	н	6	3	6	3
282	ы	6	4	6	4
283	м	6	5	6	5
284	б	6	0	6	0
285	л	6	1	6	1
286	ю	6	2	6	2
287	д	6	3	6	3
288	а	6	4	6	4
289	м	6	5	6	5
290	.	1	0	1	0
291	о	3	0	3	0
292	н	3	1	3	1
293	и	3	2	3	2
294	п	11	0	11	0
295	р	11	1	11	1
296	и	11	2	11	2
297	о	11	3	11	3
298	б	11	4	11	4
299	р	11	5	11	5
300	е	11	6	11	6
301	т	11	7	11	7
302	а	11	8	11	8
303	ю	11	9	11	9
304	т	11	10	11	10
305	п	6	0	6	0
306	р	6	1	6	1
307	я	6	2	6	2
308	н	6	3	6	3
309	ы	6	4	6	4
310	й	6	5	6	5
311	,	1	0	1	0
312	с	22	0	22	0
313	л	22	1	22	1
314	а	22	2	22	2
315	д	22	3	22	3
316	к	22	4	22	4
317	о	22	5	22	5
318	в	22	6	22	6
319	а	22	7	22	7
320	т	22	8	22	8
321	о	22	9	22	9
322	-	22	10	22	10
323	г	22	11	22	11
324	о	22	12	22	12
325	р	22	13	22	13
326	ь	22	14	22	14
327	к	22	15	22	15
328	о	22	16	22	16
329	в	22	17	22	17
330	а	22	18	22	18
331	т	22	19	22	19
332	ы	22	20	22	20
333	й	22	21	22	21
334	в	4	0	4	0
335	к	4	1	4	1
336	у	4	2	4	2
337	с	4	3	4	3
338	и	1	0	1	0
339	к	7	0	7	0
340	р	7	1	7	1
341	е	7	2	7	2
342	п	7	3	7	3
343	к	7	4	7	4
344	и	7	5	7	5
345	й	7	6	7	6
346	а	0	0	0	0
347	р	0	1	0	1
348	о	0	2	0	2
349	м	0	3	0	3
350	а	0	4	0	4
351	т	0	5	0	5
352	и	6	0	2	0
353	з	6	1	2	1
354	н	6	2	4	0
355	о	6	3	4	1
356	с	6	4	4	2
357	а	6	5	4	3
358	.	1	0	1	0
